,0
Gewinn_Bet on Favorite,-69.26999999999998
Gewinn_Bet Double Chance,-266.70716715463874
Gewinn_Bet on Draw,-266.3
Gewinn_Bet on Underdog,-275.28999999999996
Gewinn_Bet on Favorite_Difference >4,28.83
Gewinn_Bet Double Chance_Difference >4,-213.4395025003612
Gewinn_Bet on Draw_Difference >4,-205.54000000000002
Gewinn_Bet on Underdog_Difference >4,-224.5
Gewinn_Bet on Favorite_Difference <=4,-96.1
Gewinn_Bet Double Chance_Difference <=4,-51.267664654277596
Gewinn_Bet on Draw_Difference <=4,-58.760000000000005
Gewinn_Bet on Underdog_Difference <=4,-48.78999999999999
Gewinn_Bet on Favorite_Difference 1<x<2,-35.239999999999995
Gewinn_Bet Double Chance_Difference 1<x<2,-15.568567303990406
Gewinn_Bet on Draw_Difference 1<x<2,-16.849999999999994
Gewinn_Bet on Underdog_Difference 1<x<2,-16.310000000000002
Gewinn_Bet on Favorite_HomeIsFav,-52.19
Gewinn_Bet Double Chance_HomeIsFav,-203.99122219744092
Gewinn_Bet on Draw_HomeIsFav,-187.39999999999998
Gewinn_Bet on Underdog_HomeIsFav,-220.93
Gewinn_Bet on Favorite_AwayIsFav,-15.08
Gewinn_Bet Double Chance_AwayIsFav,-60.715944957197834
Gewinn_Bet on Draw_AwayIsFav,-76.9
Gewinn_Bet on Underdog_AwayIsFav,-52.36000000000001
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,27.199999999999996
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,-167.8667962031705
Gewinn_Bet on Draw_HomeIsFav_Difference >4,-161.56
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-172.25
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-79.38999999999999
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-36.12442599427041
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,-25.839999999999982
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,-48.67999999999999
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,-30.859999999999996
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,-12.486684344748998
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,-17.099999999999994
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,-9.389999999999997
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,1.630000000000001
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-45.57270629719065
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-43.980000000000004
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,-52.25
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,-16.71
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,-15.143238660007182
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,-32.92
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,-0.10999999999999943
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,-4.38
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-3.081882959241408
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,0.2500000000000018
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,-6.92
